ibge7,tempo_medio_analise,tempo_medio_liberacao,qtd
4114104,141 days 00:00:00,682 days 00:00:00,1
4115457,253 days 16:00:00,97 days 16:00:00,3
4117057,137 days 00:00:00,284 days 16:00:00,3
4117453,28 days 00:00:00,358 days 00:00:00,1
4119608,131 days 12:00:00,308 days 00:00:00,2
4120903,132 days 00:00:00,147 days 00:00:00,1
4121000,171 days 00:00:00,145 days 00:00:00,1
4122008,183 days 00:00:00,35 days 00:00:00,1
4122156,88 days 00:00:00,199 days 00:00:00,2
4122503,151 days 00:00:00,97 days 00:00:00,1
4123303,272 days 00:00:00,76 days 00:00:00,1
4126108,-2 days +00:00:00,157 days 12:00:00,2
4128104,242 days 00:00:00,59 days 00:00:00,1
4128500,294 days 00:00:00,280 days 00:00:00,1
4128658,49 days 00:00:00,292 days 00:00:00,1
4200051,138 days 00:00:00,99 days 00:00:00,1
4200200,93 days 00:00:00,133 days 00:00:00,1
4200903,109 days 00:00:00,304 days 00:00:00,1
4201109,71 days 12:00:00,349 days 00:00:00,2
4201208,123 days 00:00:00,226 days 00:00:00,2
4201703,88 days 08:00:00,172 days 00:00:00,3
4201802,208 days 00:00:00,253 days 00:00:00,1
4201950,92 days 00:00:00,204 days 00:00:00,1
4202404,34 days 00:00:00,180 days 00:00:00,2
4202453,47 days 00:00:00,203 days 00:00:00,2
4202602,92 days 00:00:00,193 days 12:00:00,2
4203709,86 days 16:00:00,169 days 08:00:00,3
4203808,18 days 00:00:00,138 days 00:00:00,1
4203956,367 days 00:00:00,14 days 00:00:00,1
4204459,169 days 00:00:00,239 days 00:00:00,1
4204509,105 days 00:00:00,173 days 00:00:00,1
4204558,159 days 00:00:00,97 days 00:00:00,1
4204806,207 days 00:00:00,137 days 00:00:00,1
4205001,10 days 00:00:00,82 days 00:00:00,1
4205803,89 days 00:00:00,591 days 00:00:00,1
4205902,53 days 00:00:00,118 days 12:00:00,2
4206108,138 days 12:00:00,432 days 00:00:00,2
4206504,51 days 00:00:00,76 days 00:00:00,1
4207205,22 days 00:00:00,189 days 00:00:00,1
4207601,434 days 00:00:00,245 days 00:00:00,1
4207700,104 days 00:00:00,99 days 00:00:00,1
4208500,134 days 12:00:00,253 days 00:00:00,2
4208708,37 days 00:00:00,134 days 00:00:00,3
4208807,89 days 00:00:00,142 days 00:00:00,1
4209102,148 days 00:00:00,166 days 12:00:00,2
4209201,21 days 00:00:00,124 days 00:00:00,1
4209409,84 days 00:00:00,375 days 00:00:00,1
4209508,220 days 00:00:00,101 days 00:00:00,1
4209607,258 days 00:00:00,83 days 00:00:00,2
4209805,295 days 00:00:00,-9 days +00:00:00,1
4210001,41 days 00:00:00,167 days 00:00:00,1
4211058,72 days 00:00:00,103 days 00:00:00,3
4211256,122 days 00:00:00,141 days 00:00:00,1
4211306,324 days 00:00:00,-1 days +00:00:00,1
4211702,77 days 00:00:00,336 days 18:00:00,4
4212270,20 days 00:00:00,95 days 00:00:00,1
4212502,230 days 00:00:00,310 days 00:00:00,1
4212908,296 days 00:00:00,100 days 00:00:00,1
4213500,134 days 12:00:00,360 days 12:00:00,2
4214201,115 days 00:00:00,28 days 00:00:00,2
4214300,219 days 00:00:00,-2 days +00:00:00,1
4214607,140 days 00:00:00,79 days 00:00:00,1
4214805,121 days 00:00:00,289 days 12:00:00,2
4214904,200 days 00:00:00,507 days 00:00:00,1
4215000,128 days 00:00:00,146 days 00:00:00,1
4215109,117 days 00:00:00,200 days 00:00:00,2
4215455,106 days 00:00:00,96 days 12:00:00,2
4215679,83 days 00:00:00,262 days 00:00:00,1
4215703,52 days 00:00:00,364 days 00:00:00,1
